"symbol","exchange","sector","industry"
"IOC","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"IOB","NSE","Financial Services","Financial Services"
"IRCTC","NSE","Consumer Services","Consumer Services"
"IRFC","NSE","Financial Services","Financial Services"
"IREDA","NSE","Financial Services","Financial Services"
"IGL","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"INDUSTOWER","NSE","Telecommunication","Telecommunication"
"INDUSINDBK","NSE","Financial Services","Financial Services"
"NAUKRI","NSE","Consumer Services","Consumer Services"
"INFY","NSE","Information Technology","Information Technology"
"INOXWIND","NSE","Capital Goods","Capital Goods"
"INTELLECT","NSE","Information Technology","Information Technology"
"INDIGO","NSE","Services","Services"
"IGIL","NSE","Services","Services"
"IKS","NSE","Information Technology","Information Technology"
"IPCALAB","NSE","Healthcare","Healthcare"
"JBCHEPHARM","NSE","Healthcare","Healthcare"
"JKCEMENT","NSE","Construction Materials","Construction Materials"
"JBMA","NSE","Automobile and Auto Components","Automobile and Auto Components"
"JKTYRE","NSE","Automobile and Auto Components","Automobile and Auto Components"
"JMFINANCIL","NSE","Financial Services","Financial Services"
"JSWCEMENT","NSE","Construction Materials","Construction Materials"
"JSWENERGY","NSE","Power","Power"
"JSWINFRA","NSE","Services","Services"
"JSWSTEEL","NSE","Metals & Mining","Metals & Mining"
"JAINREC","NSE","Metals & Mining","Metals & Mining"
"JPPOWER","NSE","Power","Power"
"J&KBANK","NSE","Financial Services","Financial Services"
"JINDALSAW","NSE","Capital Goods","Capital Goods"
"JSL","NSE","Metals & Mining","Metals & Mining"
"JINDALSTEL","NSE","Metals & Mining","Metals & Mining"
"JIOFIN","NSE","Financial Services","Financial Services"
"JUBLFOOD","NSE","Consumer Services","Consumer Services"
"JUBLINGREA","NSE","Chemicals","Chemicals"
"JUBLPHARMA","NSE","Healthcare","Healthcare"
"JWL","NSE","Capital Goods","Capital Goods"
"JYOTICNC","NSE","Capital Goods","Capital Goods"
"KPRMILL","NSE","Textiles","Textiles"
"KEI","NSE","Capital Goods","Capital Goods"
"KPITTECH","NSE","Information Technology","Information Technology"
"KAJARIACER","NSE","Consumer Durables","Consumer Durables"
"KPIL","NSE","Construction","Construction"
"KALYANKJIL","NSE","Consumer Durables","Consumer Durables"
"KARURVYSYA","NSE","Financial Services","Financial Services"
"KAYNES","NSE","Capital Goods","Capital Goods"
"KEC","NSE","Construction","Construction"
"KFINTECH","NSE","Financial Services","Financial Services"
"KIRLOSENG","NSE","Capital Goods","Capital Goods"
"KOTAKBANK","NSE","Financial Services","Financial Services"
"KIMS","NSE","Healthcare","Healthcare"
"LTF","NSE","Financial Services","Financial Services"
"LTTS","NSE","Information Technology","Information Technology"
"LGEINDIA","NSE","Consumer Durables","Consumer Durables"
"LICHSGFIN","NSE","Financial Services","Financial Services"
"LTFOODS","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"LTM","NSE","Information Technology","Information Technology"
"LT","NSE","Construction","Construction"
"LATENTVIEW","NSE","Information Technology","Information Technology"
"LAURUSLABS","NSE","Healthcare","Healthcare"
"THELEELA","NSE","Consumer Services","Consumer Services"
